Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
compress,compress_7_trace,399.4104585647583,Pass,1218.6345341205597,130000052,24078670,5.3990,15042451,270605,0.6247,0.0112,1.7989%,2.0816,6805293,25.1484,52.3484,65000052,12299098,5.2849,7447474,165853,0.6055,0.0135,2.2270%,2.5516,3891486,23.4635,59.8690
compress,compress_3_trace,334.29114055633545,Pass,945.6109821796417,130000020,60002177,2.1666,15702832,1079851,0.2617,0.0180,6.8768%,8.3065,48069376,44.5148,369.7644,65000020,26473261,2.4553,7896218,507286,0.2983,0.0192,6.4244%,7.8044,20168073,39.7568,310.2780
compress,compress_6_trace,111.95520496368408,Pass,273.33363461494446,33826271,7091923,4.7697,3887104,69696,0.5481,0.0098,1.7930%,2.0604,1755060,25.1816,51.8845,17826271,3256666,5.4738,2060235,31252,0.6326,0.0096,1.5169%,1.7531,767044,24.5438,43.0289
infra,infra_5_trace,58.871103286743164,Pass,450.73123812675476,40000016,34496785,1.1595,7268207,88902,0.2107,0.0026,1.2232%,2.2225,26321855,296.0772,658.0461,20000016,22160326,0.9025,3539219,63468,0.1597,0.0029,1.7933%,3.1734,18325383,288.7342,916.2684
infra,infra_2_trace,221.61112022399902,Pass,634.937807559967,47546686,10738789,4.4276,5818731,29188,0.5418,0.0027,0.5016%,0.6139,832099,28.5083,17.5007,24546686,4332081,5.6663,2997214,8212,0.6919,0.0019,0.2740%,0.3345,159248,19.3921,6.4876
infra,infra_15_trace,101.22027969360352,Pass,388.32288098335266,50000052,34465590,1.4507,6957507,424418,0.2019,0.0123,6.1001%,8.4884,29943048,70.5508,598.8603,25000052,6421358,3.8933,3466846,147947,0.5399,0.0230,4.2675%,5.9179,4144883,28.0160,165.7950
infra,infra_6_trace,168.09687328338623,Pass,607.9831874370575,64718349,15585671,4.1524,9187928,92017,0.5895,0.0059,1.0015%,1.4218,3389130,36.8316,52.3674,32718349,7763442,4.2144,5004718,40193,0.6447,0.0052,0.8031%,1.2285,1846822,45.9488,56.4461
infra,infra_0_trace,94.09143447875977,Pass,374.39603090286255,40000016,8891986,4.4984,5140781,53801,0.5781,0.0061,1.0466%,1.3450,1537980,28.5865,38.4495,20000016,4410888,4.5342,2582400,26853,0.5855,0.0061,1.0398%,1.3426,802625,29.8896,40.1312
infra,infra_8_trace,54.09443473815918,Pass,482.7400734424591,40000016,24580553,1.6273,7460282,50361,0.3035,0.0020,0.6751%,1.2590,15902823,315.7766,397.5704,20000016,12257528,1.6317,3730712,24962,0.3044,0.0020,0.6691%,1.2481,7911293,316.9335,395.5643
infra,infra_14_trace,118.4549331665039,Pass,428.75115513801575,50000052,18006564,2.7768,6536492,272625,0.3630,0.0151,4.1708%,5.4525,12920228,47.3919,258.4043,25000052,6359307,3.9313,3156210,120253,0.4963,0.0189,3.8100%,4.8101,4115676,34.2251,164.6267
infra,infra_12_trace,207.57365608215332,Pass,429.92809200286865,50000052,17784803,2.8114,7862103,62498,0.4421,0.0035,0.7949%,1.2500,3758110,60.1317,75.1621,25000052,8377573,2.9842,3927069,25488,0.4688,0.0030,0.6490%,1.0195,1742771,68.3761,69.7107
infra,infra_13_trace,139.63556957244873,Pass,384.9921786785126,50000052,20736581,2.4112,6532412,220623,0.3150,0.0106,3.3774%,4.4125,13977637,63.3553,279.5524,25000052,9878566,2.5307,3378036,94554,0.3420,0.0096,2.7991%,3.7822,5407769,57.1924,216.3103
infra,infra_3_trace,83.57435989379883,Pass,376.650737285614,40000016,8115746,4.9287,5433078,44934,0.6694,0.0055,0.8270%,1.1233,1156420,25.7360,28.9105,20000016,4002082,4.9974,2737308,19706,0.6840,0.0049,0.7199%,0.9853,519555,26.3653,25.9777
infra,infra_7_trace,65.31903553009033,Pass,435.18270611763,40000016,21875900,1.8285,6716982,60405,0.3070,0.0028,0.8993%,1.5101,8256260,136.6817,206.4064,20000016,11202947,1.7852,3345402,16885,0.2986,0.0015,0.5047%,0.8442,3451117,204.3895,172.5557
infra,infra_11_trace,209.36411476135254,Pass,471.29526257514954,50000052,18548068,2.6957,7754708,62277,0.4181,0.0034,0.8031%,1.2455,4208663,67.5797,84.1732,25000052,9245261,2.7041,3881908,25775,0.4199,0.0028,0.6640%,1.0310,2270102,88.0738,90.8039
